quarter,result,state,app_count,worker_count,min_yr_sal,avg_yr_sal,max_yr_sal,min_pw,avg_pw,max_pw,avg_decdur,naics5,job,empcity,samest,ssst
2015Q1,CERTIFIED,MN,461,472,25168.0,86731.0,352500.0,23192.0,75393.0,230300.0,6,54151,SOFTWARE ENGINEER,MINNEAPOLIS-MN,311,67.46
2015Q1,CERTIFIED,MO,435,442,29000.0,85237.0,350000.0,18075.0,69961.0,233459.0,6,54151,PROGRAMMER ANALYST,ST. LOUIS-MO,228,52.41
2015Q1,CERTIFIED,MS,55,56,32234.0,98396.0,375000.0,24898.0,69758.0,325119.0,5,61131,ASSISTANT PROFESSOR,JACKSON-MS,53,96.36
2015Q1,CERTIFIED,MT,5,5,25251.0,79060.0,218750.0,25251.0,71681.0,187199.0,5,62211,MEDICAL TECHNOLOGIST,HELENA-MT,4,80.0
2015Q1,CERTIFIED,NC,3470,3470,21320.0,81817.0,346600.0,19386.0,70858.0,221961.0,6,54151,IT SPECIALIST,DURHAM-NC,674,19.42
2015Q1,CERTIFIED,ND,52,55,37920.0,110774.0,650000.0,36109.0,74313.0,205323.0,5,62211,MEDICAL TECHNOLOGIST,FARGO-ND,38,73.08
2015Q1,CERTIFIED,NE,155,156,33600.0,95919.0,490000.0,22520.0,77543.0,221042.0,6,54151,SOFTWARE ENGINEER,OMAHA-NE,90,58.06
2015Q1,CERTIFIED,NH,109,113,40000.0,81934.0,350792.0,31491.0,65652.0,120120.0,5,54151,PROGRAMMER ANALYST,NASHUA-NH,41,37.61
2015Q1,CERTIFIED,NJ,10974,28484,23830.0,76713.0,450000.0,17659.0,67938.0,248352.0,6,54151,PROGRAMMER ANALYST,EAST BRUNSWICK-NJ,2524,23.0
2015Q1,CERTIFIED,NM,105,113,32000.0,70459.0,260900.0,32000.0,58724.0,260900.0,5,61111,PUBLIC SCHOOL TEACHER,ALBUQUERQUE-NM,70,66.67
2015Q1,CERTIFIED,NV,88,88,31907.0,88130.0,250000.0,31907.0,75078.0,190362.0,5,54151,SOFTWARE ENGINEER,LAS VEGAS-NV,67,76.14
2015Q1,CERTIFIED,NY,4494,8514,27456.0,97651.0,851899.0,20960.0,79982.0,416000.0,5,54151,PROGRAMMER ANALYST,NEW YORK-NY,3234,71.96
2015Q1,CERTIFIED,OH,991,1761,27040.0,83835.0,676500.0,23795.0,69899.0,340058.0,5,54151,PROGRAMMER ANALYST,DUBLIN-OH,587,59.23
2015Q1,CERTIFIED,OK,102,106,19240.0,74160.0,256900.0,19178.0,61870.0,187199.0,6,61131,ASSISTANT PROFESSOR,OKLAHOMA CITY-OK,90,88.24
2015Q1,CERTIFIED,OR,176,176,26616.0,91218.0,239200.0,23856.0,77109.0,224952.0,5,61131,ASSISTANT PROFESSOR,PORTLAND-OR,142,80.68
2015Q1,CERTIFIED,PA,3438,25640,30000.0,134342.0,124800000.0,18845.0,73284.0,235581.0,5,54161,SENIOR CONSULTANT,PHILADELPHIA-PA,1267,36.85
2015Q1,CERTIFIED,PR,17,17,23640.0,75288.0,312000.0,20842.0,47607.0,93829.0,6,61131,QUALITY CONTROL MANAGER,SAN JUAN-PR,16,94.12
2015Q1,CERTIFIED,RI,143,143,41714.0,109864.0,225000.0,35235.0,90185.0,173742.0,6,44611,PHARMACIST,WOONSOCKET-RI,69,48.25
2015Q1,CERTIFIED,SC,90,92,26146.0,87284.0,327514.0,25667.0,66296.0,270028.0,6,61131,ASSISTANT PROFESSOR,CHARLESTON-SC,74,82.22
2015Q1,CERTIFIED,SD,20,20,33469.0,115886.0,450000.0,32370.0,71191.0,198162.0,5,61131,SR. COMPUTER SYSTEMS ANALYST,BROOKINGS-SD,17,85.0
2015Q1,CERTIFIED,TN,505,510,27040.0,88116.0,343200.0,23899.0,70851.0,187200.0,5,3336,PROGRAMMER ANALYST,NASHVILLE-TN,258,51.09
2015Q1,CERTIFIED,TX,10355,19074,27000.0,82410.0,700000.0,16494.0,72497.0,247250.0,5,54151,TECHNOLOGY LEAD - US,PLANO-TX,3232,31.21
2015Q1,CERTIFIED,UT,165,165,24960.0,83168.0,250000.0,23296.0,69692.0,201926.0,6,61131,SOFTWARE DEVELOPER II,SALT LAKE CITY-UT,144,87.27
2015Q1,CERTIFIED,VA,2580,3845,24211.0,80511.0,520000.0,21299.0,70899.0,205858.0,5,54151,PROGRAMMER ANALYST,RICHMOND-VA,1192,46.2
2015Q1,CERTIFIED,VI,13,13,42100.0,86882.0,200000.0,27770.0,56684.0,100381.0,5,61111,SPECIAL EDUCATION TEACHER,ST. THOMAS-VI,11,84.62
2015Q1,CERTIFIED,VT,118,118,33061.0,88394.0,220000.0,27768.0,80695.0,187200.0,5,54151,SOFTWARE ENGINEER,SOUTH BURLINGTON-VT,15,12.71
2015Q1,CERTIFIED,WA,2329,7696,23192.0,114520.0,330000.0,23123.0,89926.0,203757.0,5,51121,SOFTWARE ENGINEER,REDMOND-WA,1764,75.74
2015Q1,CERTIFIED,WI,451,758,16765.0,94422.0,418000.0,16765.0,71900.0,244140.0,5,54151,SOFTWARE DEVELOPER,MILWAUKEE-WI,246,54.55
2015Q1,CERTIFIED,WV,35,35,21424.0,117153.0,550000.0,18940.0,76937.0,222394.0,6,61131,ASSISTANT PROFESSOR,MORGANTOWN-WV,34,97.14
2015Q1,CERTIFIED,WY,7,7,38600.0,115068.0,300000.0,27456.0,97510.0,237037.0,5,62111,SALES MANAGER,ROCK SPRINGS-WY,6,85.71
2015Q1,CERTIFIED-WITHDRAWN,AK,2,2,49254.0,65377.0,81500.0,43555.0,57564.0,71573.0,559,61131,DIGITAL MARKETING CAMPAIGNS MANAGER,FAIRBANKS-AK,2,100.0
2015Q1,CERTIFIED-WITHDRAWN,AL,6,6,44700.0,84755.0,200000.0,41766.0,64248.0,123490.0,706,61131,MANUFACTURING ENGINEER,BIRMINGHAM-AL,4,66.67
2015Q1,CERTIFIED-WITHDRAWN,AR,18,18,38050.0,106598.0,208448.0,33330.0,82735.0,116896.0,270,45291,SENIOR SOFTWARE ENGINEER,BENTONVILLE-AR,8,44.44
2015Q1,CERTIFIED-WITHDRAWN,AZ,46,79,31690.0,86850.0,135000.0,31690.0,65444.0,128773.0,318,54151,"CONSULTANT SR., TSA",PHOENIX-AZ,20,43.48
2015Q1,CERTIFIED-WITHDRAWN,CA,1715,1942,30555.0,97336.0,584000.0,28850.0,82928.0,240614.0,436,54151,SOFTWARE ENGINEER,ALISO VIEJO-CA,1283,74.81
2015Q1,CERTIFIED-WITHDRAWN,CO,117,153,38605.0,77903.0,168815.0,29286.0,65704.0,131144.0,394,54151,RESEARCH ASSOCIATE,DENVER-CO,65,55.56
2015Q1,CERTIFIED-WITHDRAWN,CT,64,64,39264.0,89603.0,260000.0,36067.0,65419.0,198619.0,257,54151,POSTDOCTORAL ASSOCIATE,NEW HAVEN-CT,37,57.81
2015Q1,CERTIFIED-WITHDRAWN,DC,53,53,40000.0,85036.0,195000.0,34270.0,64928.0,141856.0,425,54151,ASSOCIATE,WASHINGTON-DC,38,71.7
2015Q1,CERTIFIED-WITHDRAWN,DE,21,21,39998.0,71900.0,185000.0,37149.0,58676.0,91478.0,401,61131,PROGRAMMER ANALYST,NEWARK-DE,11,52.38
2015Q1,CERTIFIED-WITHDRAWN,FL,100,115,33280.0,74951.0,480000.0,24731.0,61834.0,188793.0,391,61131,PHYSICAL THERAPIST,TAMPA-FL,70,70.0
2015Q1,CERTIFIED-WITHDRAWN,GA,236,236,31900.0,72595.0,255000.0,24480.0,62524.0,206731.0,345,54151,PROGRAMMER ANALYST,ATLANTA-GA,128,54.24
2015Q1,CERTIFIED-WITHDRAWN,HI,6,6,57512.0,84229.0,111396.0,57504.0,64107.0,89627.0,387,61131,ASSISTANT PROFESSOR,HONOLULU-HI,6,100.0
2015Q1,CERTIFIED-WITHDRAWN,IA,26,26,40546.0,91358.0,255000.0,30347.0,73969.0,235019.0,516,61131,ASSISTANT PROFESSOR,IOWA CITY-IA,25,96.15
2015Q1,CERTIFIED-WITHDRAWN,ID,4,4,52250.0,77811.0,107000.0,52250.0,67255.0,84178.0,306,33441,COMPUTER PROGRAMMER (.NET),BOISE-ID,3,75.0
2015Q1,CERTIFIED-WITHDRAWN,IL,425,432,30500.0,80899.0,475000.0,19880.0,67112.0,218774.0,365,54151,PROGRAMMER ANALYST,CHICAGO-IL,234,55.06
2015Q1,CERTIFIED-WITHDRAWN,IN,82,86,37794.0,95421.0,299998.0,31554.0,61794.0,200013.0,440,61131,POSTDOCTORAL FELLOW,INDIANAPOLIS-IN,77,93.9
2015Q1,CERTIFIED-WITHDRAWN,KS,13,13,38834.0,75871.0,105000.0,38834.0,65928.0,91187.0,346,61131,TELECOM DESIGN ENGINEER II,OVERLAND PARK-KS,8,61.54
2015Q1,CERTIFIED-WITHDRAWN,KY,102,102,37100.0,57721.0,99742.0,37086.0,55147.0,88691.0,369,54151,PROGRAMMER ANALYST,LOUISVILLE-KY,5,4.9
2015Q1,CERTIFIED-WITHDRAWN,LA,19,19,38000.0,81571.0,330000.0,34861.0,63521.0,238659.0,456,61131,POSTDOCTORAL RESEARCHER,BATON ROUGE-LA,17,89.47
2015Q1,CERTIFIED-WITHDRAWN,MA,294,294,33688.0,79267.0,270576.0,28912.0,63749.0,187199.0,454,54151,RESEARCH FELLOW,BOSTON-MA,220,74.83
2015Q1,CERTIFIED-WITHDRAWN,MD,183,189,28320.0,92821.0,3565172.0,20821.0,57375.0,115253.0,450,61131,RESEARCH FELLOW,BALTIMORE-MD,108,59.02
2015Q1,CERTIFIED-WITHDRAWN,ME,1,1,115000.0,115000.0,115000.0,95160.0,95160.0,95160.0,16,52221,SOFTWARE DEVELOPMENT ENGINEER,SOUTH PORTLAND-ME,1,100.0
2015Q1,CERTIFIED-WITHDRAWN,MI,319,322,35256.0,80375.0,300000.0,27622.0,64750.0,208140.0,323,54151,PROGRAMMER ANALYST,TROY-MI,142,44.51
2015Q1,CERTIFIED-WITHDRAWN,MN,31,31,50000.0,78157.0,120000.0,46488.0,71167.0,99986.0,366,54151,DATABASE ADMINISTRATOR,WOODBURY-MN,25,80.65
2015Q1,CERTIFIED-WITHDRAWN,MO,70,70,36000.0,69485.0,189675.0,23442.0,56054.0,103320.0,476,54151,SOFTWARE ENGINEER,NORTH KANSAS CITY-MO,66,94.29
2015Q1,CERTIFIED-WITHDRAWN,MS,9,9,37440.0,52777.0,70000.0,25730.0,43286.0,58178.0,243,61131,COMPUTER SYSTEMS CONSULTANT,JACKSON-MS,9,100.0
2015Q1,CERTIFIED-WITHDRAWN,MT,3,3,31637.0,60946.0,83200.0,31637.0,44249.0,64397.0,316,61131,ASSOCIATE PROFESSOR,BOZEMAN-MT,3,100.0
2015Q1,CERTIFIED-WITHDRAWN,NC,243,243,35000.0,85285.0,216725.0,21965.0,69580.0,165298.0,259,54151,IT SPECIALIST,DURHAM-NC,98,40.33
2015Q1,CERTIFIED-WITHDRAWN,NE,27,27,40165.0,94048.0,400000.0,40165.0,71302.0,226900.0,331,54151,SOFTWARE DEVELOPER,OMAHA-NE,19,70.37
2015Q1,CERTIFIED-WITHDRAWN,NH,63,63,40500.0,3069184.0,188543680.0,35339.0,63637.0,123843.0,409,54151,PROGRAMMER ANALYST,NASHUA-NH,37,58.73
2015Q1,CERTIFIED-WITHDRAWN,NJ,815,856,37000.0,71800.0,195000.0,31283.0,64854.0,195000.0,389,54151,PROGRAMMER/ANALYST,PISCATAWAY-NJ,232,28.47
2015Q1,CERTIFIED-WITHDRAWN,NM,15,15,38854.0,113712.0,227500.0,36130.0,90341.0,164549.0,408,61131,HOSPITALIST PHYSICIAN,ALBUQUERQUE-NM,10,66.67
2015Q1,CERTIFIED-WITHDRAWN,NV,9,9,65915.0,90667.0,112380.0,54642.0,75379.0,112380.0,317,54151,SOFTWARE ENGINEER (SAP DEVELOPER II),LAS VEGAS-NV,7,77.78
2015Q1,CERTIFIED-WITHDRAWN,NY,585,611,31262.0,92915.0,400000.0,20738.0,72913.0,220813.0,429,52311,COMPUTER OCCUPATIONS,NEW YORK-NY,463,79.15
2015Q1,CERTIFIED-WITHDRAWN,OH,103,103,35505.0,85134.0,223000.0,22859.0,71769.0,222352.0,386,54151,POST DOCTORAL RESEARCHER,COLUMBUS-OH,51,49.51
2015Q1,CERTIFIED-WITHDRAWN,OK,11,11,33870.0,78736.0,125000.0,33870.0,61520.0,86778.0,603,61111,MATH TEACHER,TULSA-OK,7,63.64
2015Q1,CERTIFIED-WITHDRAWN,OR,30,30,37500.0,75766.0,215260.0,34632.0,64368.0,133349.0,409,61131,ASSISTANT PROFESSOR,PORTLAND-OR,28,93.33
2015Q1,CERTIFIED-WITHDRAWN,PA,273,288,25740.0,79274.0,403000.0,24440.0,63021.0,150440.0,441,54151,PROGRAMMER ANALYST,PHILADELPHIA-PA,194,71.06
2015Q1,CERTIFIED-WITHDRAWN,RI,18,18,78800.0,111192.0,135400.0,51126.0,87147.0,106933.0,319,44611,PHARMACIST,WOONSOCKET-RI,8,44.44
2015Q1,CERTIFIED-WITHDRAWN,SC,12,12,39264.0,93398.0,400000.0,36067.0,60619.0,119579.0,615,61131,ASSISTANT PROFESSOR,COLUMBIA-SC,12,100.0
2015Q1,CERTIFIED-WITHDRAWN,SD,1,1,65000.0,65000.0,65000.0,57780.0,57780.0,57780.0,50,61131,ASSISTANT PROFESSOR OF HEALTH SCIENCES,VERMILLION-SD,1,100.0
2015Q1,CERTIFIED-WITHDRAWN,TN,49,50,38771.0,74386.0,169915.0,32580.0,62024.0,136282.0,317,3336,POST-DOCTORAL RESEARCH ASSOCIATE,OAK RIDGE-TN,28,57.14
2015Q1,CERTIFIED-WITHDRAWN,TX,787,798,24000.0,235990.0,124800000.0,17888.0,66100.0,216050.0,361,54151,PROGRAMMER ANALYST,HOUSTON-TX,504,64.04
2015Q1,CERTIFIED-WITHDRAWN,UT,10,10,32843.0,69330.0,154500.0,32843.0,61345.0,148803.0,183,61131,RESEARCH ASSOCIATE,SALT LAKE CITY-UT,8,80.0
2015Q1,CERTIFIED-WITHDRAWN,VA,317,350,33000.0,468975.0,124800000.0,29328.0,64704.0,190528.0,379,54151,COMPUTER PROGRAMMER / ANALYST,RESTON-VA,188,59.31
2015Q1,CERTIFIED-WITHDRAWN,VT,3,3,68000.0,78000.0,96000.0,58760.0,68446.0,79602.0,95,54151,JAVA PROGRAMMER,SOUTH BURLINGTON-VT,1,33.33
2015Q1,CERTIFIED-WITHDRAWN,WA,403,728,30992.0,107583.0,324904.0,28205.0,84384.0,249808.0,467,51121,SOFTWARE DEVELOPMENT ENGINEER IN TEST,REDMOND-WA,325,80.65
2015Q1,CERTIFIED-WITHDRAWN,WI,58,59,37149.0,80429.0,340000.0,27144.0,64550.0,165693.0,284,54151,PROGRAMMER ANALYST,MADISON-WI,46,79.31
2015Q1,CERTIFIED-WITHDRAWN,WV,7,7,27851.0,78030.0,180000.0,16630.0,39985.0,82140.0,491,61131,ASSISTANT PROFESSOR,MORGANTOWN-WV,7,100.0
2015Q1,CERTIFIED-WITHDRAWN,WY,1,1,28152.0,28152.0,28152.0,28142.0,28142.0,28142.0,287,61131,ASSISTANT RESEARCH SCIENTIST,LARAMIE-WY,1,100.0
2015Q1,DENIED,AK,10,10,47840.0,54252.0,60000.0,39104.0,50059.0,54558.0,6,33272,GENERAL OPERATIONS MANAGER,JUNEAU-AK,10,100.0
2015Q1,DENIED,AL,3,3,20800.0,38432.0,49496.0,17618.0,35339.0,47963.0,5,61131,"FOREIGN LANGUAGE TEACHER, POSTSECONDARY",MONTGOMERY-AL,3,100.0
2015Q1,DENIED,AR,4,4,57783.0,74446.0,90000.0,54891.0,71380.0,85072.0,5,54161,SENIOR USER EXPERIENCE ARCHITECT,ROGERS-AR,2,50.0
2015Q1,DENIED,AZ,7,7,36800.0,67894.0,115000.0,36800.0,58559.0,96928.0,4,81331,WILDLIFE SPECIALIST I (NATIVE FISH AND INVERTERATE,PHOENIX-AZ,4,57.14
2015Q1,DENIED,CA,301,476,18720.0,96623.0,930000.0,17800.0,826672.0,221555360.0,5,54151,SOFTWARE ENGINEER,SAN FRANCISCO-CA,258,85.71
2015Q1,DENIED,CO,31,34,18890.0,104588.0,230000.0,18890.0,88457.0,209435.0,5,52393,FINANCIAL ANALYST,DENVER-CO,19,61.29
2015Q1,DENIED,CT,20,20,36712.0,83682.0,160000.0,26582.0,81050.0,162136.0,5,32541,MEDICINAL PLANT PHARMACOGNOSIS,DANBURY-CT,14,70.0
2015Q1,DENIED,DC,14,14,32000.0,65275.0,111925.0,29869.0,60361.0,111925.0,5,5182,MID-LEVEL CIVIL ENGINEER,WASHINGTON-DC,14,100.0
2015Q1,DENIED,DE,8,8,39707.0,62228.0,108867.0,38397.0,60099.0,108867.0,4,54151,GRAPHIC DESIGNER,DOVER-DE,6,75.0
2015Q1,DENIED,FL,63,64,20000.0,74165.0,270000.0,0.0,106094.0,2930044.0,5,54151,WEB DESIGNER/SOFTWARE DEVELOPER,MIAMI-FL,50,79.37
2015Q1,DENIED,GA,42,50,41870.0,70737.0,107349.0,41870.0,66310.0,107349.0,4,54151,PROGRAMMER ANALYST,ATLANTA-GA,23,54.76
2015Q1,DENIED,GU,16,24,24752.0,37818.0,62400.0,19781.0,34060.0,48880.0,4,23622,CIVIL ENGINEER,TAMUNING-GU,16,100.0
2015Q1,DENIED,HI,10,10,39936.0,86253.0,135000.0,0.0,73141.0,134014.0,4,92311,PRESIDENT & CHIEF EXECUTIVE OFFICER,HONOLULU-HI,10,100.0
2015Q1,DENIED,IA,5,5,31787.0,55740.0,99451.0,31787.0,240364.0,1042824.0,5,61131,SECONDARY SCHOOL TEACHER (SCIENCE),CEDAR RAPIDS-IA,5,100.0
2015Q1,DENIED,ID,4,4,37440.0,77085.0,125000.0,24378.0,161876.0,478920.0,6,61131,GEODETIC COORDINATOR,POCATELLO-ID,3,75.0
2015Q1,DENIED,IL,53,62,32250.0,82244.0,165000.0,29266.0,1655872.0,83948800.0,5,54151,PROGRAMMER ANALYST,CHICAGO-IL,32,60.38
2015Q1,DENIED,IN,17,17,23920.0,55598.0,105000.0,39333.0,53167.0,105539.0,4,32739,DESIGN ENGINEER,WHITESTOWN-IN,16,94.12
2015Q1,DENIED,KS,11,15,27040.0,62753.0,86520.0,21653.0,55582.0,81037.0,5,54194,ASSOCIATE VETERINARIAN,GARNETT-KS,10,90.91
2015Q1,DENIED,KY,2,8,68867.0,71811.0,74755.0,44304.0,44408.0,44512.0,5,52411,CHOREOGRAPHER,LOUISVILLE-KY,2,100.0
2015Q1,DENIED,LA,5,15,20800.0,30218.0,36026.0,21000.0,30733.0,36026.0,5,54133,HURRICANE PROTECTION BARRICADE AT CHANDELURE ISLAND LA.,NEW ORLEANS-LA,5,100.0
2015Q1,DENIED,MA,71,76,25930.0,79007.0,163400.0,21861.0,71872.0,140504.0,5,54151,RESIDENT IN PEDIATRIC OPTOMETRY,BOSTON-MA,54,76.06
2015Q1,DENIED,MD,25,25,40000.0,72242.0,132000.0,30389.0,65309.0,110968.0,4,54151,RESEARCH ASSOCIATE,SILVER SPRING-MD,19,76.0
2015Q1,DENIED,ME,1,1,119500.0,119500.0,119500.0,143949.0,143949.0,143949.0,4,62111,CHILD & ADOLESCENT PSYCHIATRIST,SOUTH PORTLAND-ME,1,100.0
2015Q1,DENIED,MI,35,65,17056.0,115021.0,1151544.0,17056.0,62899.0,102606.0,5,54151,PROGRAMMER ANALYST,TROY-MI,22,62.86
2015Q1,DENIED,MN,24,33,25168.0,9994023.0,237952000.0,21736.0,7282751.0,172968640.0,5,54151,LEAD JAVA DEVELOPER,MINNEAPOLIS-MN,20,83.33
2015Q1,DENIED,MO,8,8,37690.0,59976.0,82500.0,37690.0,56804.0,76419.0,3,61131,INSTRUCTOR,ST. LOUIS-MO,5,62.5
2015Q1,DENIED,MS,8,8,37794.0,50043.0,112500.0,32010.0,44223.0,82380.0,4,61131,POST DOCTORAL,MISS. STATE-MS,8,100.0
2015Q1,DENIED,MT,4,4,25251.0,61427.0,73486.0,25251.0,61428.0,73486.0,6,62211,CRITICAL CARE ICU RN,KALISPELL-MT,4,100.0
2015Q1,DENIED,NC,88,90,19178.0,79967.0,248514.0,19178.0,2223949.0,189496320.0,5,54151,SENIOR CONSULTANT,DURHAM-NC,20,22.73
2015Q1,DENIED,ND,2,2,120000.0,167500.0,215000.0,114300.0,126924.0,139548.0,6,62211,"SENIOR VICE PRESIDENT, PROFESSIONAL SERVICES",FARGO-ND,2,100.0
2015Q1,DENIED,NE,2,2,77000.0,117250.0,157500.0,76336.0,120370.0,164403.0,5,54151,SOFTWARE DEVELOPER,OMAHA-NE,2,100.0
2015Q1,DENIED,NH,11,11,54392.0,65354.0,88000.0,54029.0,62340.0,72900.0,6,54151,PROGRAMMER ANALYST,NASHUA-NH,5,45.45
2015Q1,DENIED,NJ,125,233,26666.0,75419.0,249992.0,26666.0,869722.0,99550880.0,4,54151,PROGRAMMER ANALYST,EDISON-NJ,43,34.4
2015Q1,DENIED,NM,4,6,48800.0,90382.0,144000.0,37920.0,54833.0,79789.0,3,61111,HIGH SCHOOL MATH TEACHER,ALBUQUERQUE-NM,3,75.0
2015Q1,DENIED,NV,12,12,31907.0,78994.0,182500.0,31907.0,72660.0,180000.0,5,5416,PROJECT ENGINEER/PROJECT CONSULTANT,LAS VEGAS-NV,8,66.67
2015Q1,DENIED,NY,230,265,24700.0,81464.0,504608.0,16640.0,495752.0,97560320.0,5,54151,TRANSLATOR,NEW YORK-NY,193,83.91
2015Q1,DENIED,OH,26,26,27040.0,86650.0,325320.0,25293.0,3264999.0,82937920.0,4,54151,SURGEON AND FACULTY MEMBER,DUBLIN-OH,19,73.08
2015Q1,DENIED,OK,5,5,19240.0,42397.0,60000.0,19178.0,39732.0,55994.0,6,92411,PROFESSIONAL ENGINEER II,OKLAHOMA CITY-OK,5,100.0
2015Q1,DENIED,OR,6,6,89000.0,139408.0,226408.0,86500.0,121374.0,211393.0,5,62211,DIRECTOR OF ENGINEERING,PORTLAND-OR,5,83.33
2015Q1,DENIED,PA,64,235,25740.0,98959.0,425000.0,24440.0,78985.0,235581.0,5,54151,PROGRAMMER ANALYST,PHILADELPHIA-PA,36,56.25
2015Q1,DENIED,PR,3,3,42744.0,48873.0,61131.0,42744.0,48873.0,61131.0,5,51711,DATABASE DEVELOPER,SAN JUAN-PR,1,33.33
2015Q1,DENIED,RI,5,5,60341.0,113482.0,155147.0,57741.0,116705.0,155147.0,5,61131,LECTURER,PROVIDENCE-RI,4,80.0
2015Q1,DENIED,SC,9,9,29000.0,38298.0,63380.0,29578.0,36994.0,48493.0,4,42494,FRONT OF THE HOUSE MANAGER,MYRTLE BEACH-SC,9,100.0
2015Q1,DENIED,TN,14,17,48360.0,76674.0,183300.0,37794.0,71169.0,183300.0,5,3336,APPLICATION DESIGNER,NASHVILLE-TN,7,50.0
2015Q1,DENIED,TX,141,206,20800.0,80302.0,468000.0,15080.0,68545.0,236954.0,4,54151,SOFTWARE ENGINEER,HOUSTON-TX,106,75.18
2015Q1,DENIED,UT,12,12,24960.0,86455.0,125000.0,21694.0,67345.0,122346.0,5,54160,RUBY ON RAILS DEVELOPER,SALT LAKE CITY-UT,11,91.67
