quarter,result,fips,app_count,worker_count,min_yr_sal,avg_yr_sal,max_yr_sal,min_pw,avg_pw,max_pw,avg_decdur,naics5,job,empcity,samest,ssst
2015Q1,CERTIFIED,06001,1070,1739,30555.0,89969.0,270000.0,25293.0,80463.0,160784.0,6,54151,PROGRAMMER ANALYST,FREMONT-CA,827,77.29
2015Q1,CERTIFIED,06007,6,6,80000.0,97391.0,130603.0,50676.0,84173.0,130603.0,6,44611,PHARMACIST,CHICO-CA,6,100.0
2015Q1,CERTIFIED,06011,1,1,40000.0,40000.0,40000.0,36109.0,36109.0,36109.0,6,11141,HARVESTING SUPERVISOR,COLUSA-CA,1,100.0
2015Q1,CERTIFIED,06013,165,166,31200.0,106954.0,325000.0,30863.0,88306.0,213533.0,5,54151,PROGRAMMER ANALYST,SAN RAMON-CA,99,60.0
2015Q1,CERTIFIED,06017,36,37,54155.0,100083.0,163219.0,47258.0,88404.0,134638.0,6,54151,COMPUTER PROGRAMMER,EL DORADO HILLS-CA,23,63.89
2015Q1,CERTIFIED,06019,8,8,46787.0,93641.0,220000.0,34507.0,78700.0,187199.0,5,62134,PEDIATRIC OCCUPATIONAL THERAPIST SCHOOL BASED / CLINIC,FRESNO-CA,8,100.0
2015Q1,CERTIFIED,06023,5,5,45000.0,94769.0,170000.0,42869.0,87360.0,150946.0,5,54133,ENVIRONMENTAL ENGINEER,EUREKA-CA,4,80.0
2015Q1,CERTIFIED,06029,12,12,39250.0,86968.0,141142.0,25293.0,77031.0,138466.0,5,21111,PRODUCTION ENGINEER II,BAKERSFIELD-CA,11,91.67
2015Q1,CERTIFIED,06033,1,1,63669.0,63669.0,63669.0,62275.0,62275.0,62275.0,6,62412,PHYSICAL THERAPIST,HIDDEN VALLEY LAKE-CA,1,100.0
2015Q1,CERTIFIED,06037,1157,2612,18720.0,87621.0,378000.0,18720.0,74582.0,249995.0,5,54151,SOFTWARE ENGINEER,LOS ANGELES-CA,929,80.29
2015Q1,CERTIFIED,06041,68,69,50502.0,116193.0,300000.0,50502.0,98088.0,189592.0,5,54151,SOFTWARE ENGINEER,SAN RAFAEL-CA,53,77.94
2015Q1,CERTIFIED,06043,1,1,93600.0,93600.0,93600.0,81120.0,81120.0,81120.0,4,6221,PHYSICAL THERAPIST,MARIPOSA-CA,1,100.0
2015Q1,CERTIFIED,06047,5,5,48048.0,65678.0,100000.0,37794.0,51597.0,78499.0,6,61131,ASSISTANT SPECIALIST,MERCED-CA,5,100.0
2015Q1,CERTIFIED,06051,1,1,88400.0,88400.0,88400.0,77126.0,77126.0,77126.0,6,62311,PHYSICAL THERAPIST,BISHOP-CA,1,100.0
2015Q1,CERTIFIED,06053,9,9,55973.0,85850.0,159132.0,47278.0,70450.0,120000.0,6,61131,PROGRAMMER ANALYST,MONTEREY-CA,9,100.0
2015Q1,CERTIFIED,06055,8,8,27040.0,108956.0,240000.0,22714.0,82899.0,182660.0,6,31213,WINEMAKER,NAPA-CA,8,100.0
2015Q1,CERTIFIED,06059,931,1132,25646.0,85116.0,400010.0,25646.0,73244.0,211536.0,5,54151,SENIOR SYSTEMS ANALYST,ALISO VIEJO-CA,479,51.45
2015Q1,CERTIFIED,06061,11,11,67000.0,117471.0,273666.0,66602.0,91257.0,133058.0,5,54151,APPLICATIONS DEVELOPER 3,ROSEVILLE-CA,10,90.91
2015Q1,CERTIFIED,06065,31,31,37315.0,66173.0,190000.0,37149.0,57610.0,168314.0,5,61131,POSTDOC EMPLOYEE,RIVERSIDE-CA,29,93.55
2015Q1,CERTIFIED,06067,145,172,36000.0,85251.0,180000.0,35194.0,70439.0,124800.0,5,54151,PROGRAMMER ANALYST,FOLSOM-CA,104,71.72
2015Q1,CERTIFIED,06071,56,58,29765.0,91305.0,250000.0,28330.0,71214.0,161741.0,5,61131,CLINICAL LABORATORY SCIENTIST,ONTARIO-CA,51,91.07
2015Q1,CERTIFIED,06073,632,930,35360.0,99081.0,350000.0,25792.0,84218.0,216590.0,6,33422,SENIOR SOFTWARE ENGINEER,SAN DIEGO-CA,515,81.49
2015Q1,CERTIFIED,06075,1091,1104,36000.0,118706.0,329992.0,33904.0,100809.0,206731.0,5,54151,SOFTWARE ENGINEER,SAN FRANCISCO-CA,971,89.0
2015Q1,CERTIFIED,06077,30,30,46904.0,67740.0,104811.0,41267.0,62801.0,104811.0,5,54151,PROGRAMMER ANALYST,STOCKTON-CA,11,36.67
2015Q1,CERTIFIED,06079,7,7,56040.0,104694.0,160000.0,50676.0,77865.0,116085.0,5,54151,PRODUCT MANAGER - SOFTWARE DEVELOPMENT,SAN LUIS OBISPO-CA,7,100.0
2015Q1,CERTIFIED,06081,854,2592,45000.0,119537.0,300000.0,31616.0,100762.0,248800.0,6,51121,SOFTWARE ENGINEER,REDWOOD SHORES-CA,608,71.19
2015Q1,CERTIFIED,06083,31,31,45432.0,92781.0,212500.0,38376.0,73213.0,143270.0,5,61131,POSTDOCTORAL SCHOLAR - EMPLOYEE,SANTA BARBARA-CA,24,77.42
2015Q1,CERTIFIED,06085,4744,11216,36046.0,109267.0,350000.0,29890.0,92958.0,214864.0,5,54151,SOFTWARE ENGINEER,SUNNYVALE-CA,3027,63.81
2015Q1,CERTIFIED,06087,12,12,45432.0,88955.0,130000.0,37794.0,71190.0,123614.0,5,61131,ASSISTANT PROJECT SCIENTIST,SANTA CRUZ-CA,10,83.33
2015Q1,CERTIFIED,06095,17,18,31500.0,87645.0,126630.0,31408.0,78409.0,126630.0,5,54151,PROGRAMMER ANALYST,BENICIA-CA,16,94.12
2015Q1,CERTIFIED,06097,18,18,56368.0,108732.0,165000.0,56368.0,95552.0,118435.0,5,33441,EXPERT LEVEL R&D SOFTWARE TEST ENGINEER,PETALUMA-CA,17,94.44
2015Q1,CERTIFIED,06099,15,15,60000.0,88041.0,110000.0,60000.0,73214.0,90418.0,6,54171,POSTDOCTORAL APPOINTEE,LIVERMORE-CA,12,80.0
2015Q1,CERTIFIED,06101,2,2,119256.0,159628.0,200000.0,114512.0,123192.0,131872.0,5,62211,PHYSICIAN,YUBA CITY-CA,2,100.0
2015Q1,CERTIFIED,06107,6,6,52853.0,111758.0,180000.0,52853.0,97809.0,149843.0,6,1113,AGRICULTURAL CROP FARM MANAGER,VISALIA-CA,6,100.0
2015Q1,CERTIFIED,06111,60,64,46592.0,101595.0,300000.0,43326.0,84429.0,152630.0,5,54151,PROGRAMMER ANALYST,SIMI VALLEY-CA,33,55.0
2015Q1,CERTIFIED,06113,33,33,37728.0,65807.0,270600.0,37149.0,45187.0,67662.0,6,61131,POSTDOCTORAL SCHOLAR,DAVIS-CA,33,100.0
2015Q1,CERTIFIED,08001,2,2,54932.0,64966.0,75000.0,51085.0,56056.0,61027.0,5,62211,MED TECH I,AURORA-CO,1,50.0
2015Q1,CERTIFIED,08005,13,13,62700.0,75842.0,165000.0,57034.0,69682.0,137987.0,5,54133,PROGRAMMER ANALYST,AURORA-CO,10,76.92
2015Q1,CERTIFIED,08013,62,64,38676.0,87140.0,275000.0,30050.0,69753.0,154690.0,5,61131,RESEARCH ASSOCIATE,BOULDER-CO,32,51.61
2015Q1,CERTIFIED,08014,1,1,54500.0,54500.0,54500.0,54246.0,54246.0,54246.0,4,54151,CRM CONSULTANT,WESTMINSTER-CO,1,100.0
2015Q1,CERTIFIED,08031,163,195,35123.0,99184.0,270000.0,29141.0,81750.0,219939.0,5,54150,RESEARCH ASSOCIATE,GREENWOOD VILLAGE-CO,56,34.36
2015Q1,CERTIFIED,08035,87,87,45989.0,91432.0,140005.0,29952.0,79921.0,140005.0,5,54151,SENIOR CONSULTANT,ENGLEWOOD-CO,40,45.98
2015Q1,CERTIFIED,08041,29,33,40000.0,97878.0,126000.0,33176.0,72848.0,123365.0,6,54151,SOFTWARE ENGINEER,COLORADO SPRINGS-CO,13,44.83
2015Q1,CERTIFIED,08051,1,1,32300.0,32300.0,32300.0,32053.0,32053.0,32053.0,7,61169,RESEARCH ASSOCIATE,CRESTED BUTTE-CO,1,100.0
2015Q1,CERTIFIED,08059,43,43,40165.0,78006.0,151434.0,37794.0,67336.0,138008.0,5,54133,PETROLEUM ENGINEER,GOLDEN-CO,33,76.74
2015Q1,CERTIFIED,08069,6,6,46155.0,87046.0,160000.0,37149.0,72075.0,105914.0,6,54199,BUSINESS SYSTEMS ANALYST III,FORT COLLINS-CO,5,83.33
2015Q1,CERTIFIED,08071,1,1,49566.0,49566.0,49566.0,49566.0,49566.0,49566.0,6,62211,MEDICAL TECHNOLOGIST,TRINIDAD-CO,1,100.0
2015Q1,CERTIFIED,08097,2,2,18890.0,41945.0,65000.0,18890.0,41560.0,64230.0,6,72251,DIRECTOR OF COACHING,BASALT-CO,2,100.0
2015Q1,CERTIFIED,08101,1,1,49295.0,49295.0,49295.0,37336.0,37336.0,37336.0,7,62211,INTERNAL MEDICINE RESIDENT,PUEBLO-CO,1,100.0
2015Q1,CERTIFIED,08113,2,2,43680.0,121840.0,200000.0,43202.0,97885.0,152568.0,6,45111,"CHIEF EXECUTIVE (KNOWN INTERNALLY AS ""PRESIDENT"")",TELLURIDE-CO,2,100.0
2015Q1,CERTIFIED,08117,2,2,56817.0,57670.0,58522.0,50627.0,50627.0,50627.0,5,71392,MARKETING MANAGER,COPPER MOUNTAIN-CO,2,100.0
2015Q1,CERTIFIED,08123,11,11,40000.0,79960.0,159250.0,36920.0,61659.0,106142.0,5,31161,SALES COORDINATOR,GREELEY-CO,7,63.64
2015Q1,CERTIFIED,09001,270,346,25000.0,105887.0,312000.0,18400.0,88159.0,205379.0,5,54151,PROGRAMMER ANALYST,STAMFORD-CT,155,57.41
2015Q1,CERTIFIED,09003,279,290,38800.0,82137.0,192000.0,29952.0,71447.0,155854.0,5,54151,PROGRAMMER ANALYST,EAST HARTFORD-CT,88,31.54
2015Q1,CERTIFIED,09005,2,2,87500.0,91061.0,94622.0,77002.0,79893.0,82784.0,6,54151,SENIOR TEST ENGINEER,STAMFORD-CT,1,50.0
2015Q1,CERTIFIED,09007,6,6,31456.0,73421.0,120000.0,29890.0,60888.0,98966.0,6,61131,LIBRARIAN,MIDDLETOWN-CT,5,83.33
2015Q1,CERTIFIED,09009,100,100,36712.0,77309.0,241000.0,26582.0,62980.0,198619.0,6,61131,ASSOCIATE RESEARCH SCIENTIST,NEW HAVEN-CT,76,76.0
2015Q1,CERTIFIED,09011,2,2,48300.0,148950.0,249600.0,48298.0,95233.0,142168.0,6,62111,PATIENT SERVICE MANAGER,NORWICH-CT,2,100.0
2015Q1,CERTIFIED,09013,13,13,39998.0,59765.0,115000.0,37794.0,52992.0,103938.0,6,61131,UNIVERSITY POSTDOCTORAL FELLOW,STORRS-CT,10,76.92
2015Q1,CERTIFIED,09015,2,2,74880.0,74880.0,74880.0,71802.0,71802.0,71802.0,5,62211,PHYSICAL THERAPIST,PUTNAM-CT,1,50.0
2015Q1,CERTIFIED,10001,4,4,39707.0,51080.0,65000.0,39707.0,49691.0,59862.0,6,61131,COMPUTER SYSTEMS ANALYST,DOVER-DE,4,100.0
2015Q1,CERTIFIED,10003,295,300,30098.0,72353.0,275000.0,30098.0,64384.0,126838.0,5,54151,PROGRAMMER ANALYST,NEWARK-DE,130,44.07
2015Q1,CERTIFIED,10005,2,2,65000.0,155350.0,245700.0,65000.0,102950.0,140899.0,6,62111,GENERAL MANAGER,LEWES-DE,1,50.0
2015Q1,CERTIFIED,11001,254,261,27040.0,96697.0,438000.0,21299.0,77451.0,242341.0,5,54151,RESEARCH ASSISTANT,WASHINGTON-DC,192,75.59
2015Q1,CERTIFIED,12001,43,43,33000.0,84197.0,188793.0,31346.0,67961.0,188793.0,5,61131,POST DOCTORAL ASSOCIATE,GAINESVILLE-FL,41,95.35
2015Q1,CERTIFIED,12009,22,22,35990.0,81574.0,250000.0,35360.0,72374.0,192400.0,6,54151,COMPUTER PROGRAMMER,ROCKLEDGE-FL,10,45.45
2015Q1,CERTIFIED,12011,251,253,24814.0,86494.0,400000.0,24814.0,73554.0,391300.0,5,56131,PHYSICAL THERAPIST,PLANTATION-FL,101,40.24
2015Q1,CERTIFIED,12015,5,5,50000.0,279628.0,423363.0,49878.0,64322.0,69742.0,5,62121,PHYSICIAN,PORT CHARLOTTE-FL,5,100.0
2015Q1,CERTIFIED,12021,6,6,46800.0,74112.0,97500.0,46218.0,65950.0,75712.0,6,54111,SOFTWARE DEVELOPER,BONITA SPRINGS-FL,4,66.67
2015Q1,CERTIFIED,12023,1,1,190000.0,190000.0,190000.0,187199.0,187199.0,187199.0,6,6211,PROVIDER OB/GYN,LAKE CITY-FL,1,100.0
2015Q1,CERTIFIED,12027,2,2,80000.0,170000.0,260000.0,40664.0,52458.0,64251.0,5,23819,CIVIL ENGINEER,ARCADIA-FL,2,100.0
2015Q1,CERTIFIED,12031,124,125,26208.0,89898.0,364000.0,26208.0,76021.0,187199.0,5,54151,PROGRAMMER ANALYST,JACKSONVILLE-FL,52,41.94
2015Q1,CERTIFIED,12057,650,3587,34875.0,88037.0,250000.0,29723.0,69050.0,200803.0,5,54151,ADVISORY SENIOR ASSOCIATE,TAMPA-FL,150,23.08
2015Q1,CERTIFIED,12069,17,17,49504.0,53867.0,120000.0,49504.0,53616.0,115877.0,6,62211,CRITICAL CARE REGISTERED NURSE,TAVARES-FL,17,100.0
2015Q1,CERTIFIED,12071,9,9,56524.0,99254.0,159800.0,56524.0,84969.0,147190.0,6,62111,STAFF PHYSICIAN - FAMILY PRACTICE,FORT MYERS-FL,8,88.89
2015Q1,CERTIFIED,12073,33,33,33280.0,82784.0,237500.0,24731.0,61324.0,131200.0,6,61131,ASSISTANT PROFESSOR,TALLAHASSEE-FL,30,90.91
2015Q1,CERTIFIED,12081,8,8,26000.0,90855.0,205000.0,25979.0,79952.0,184954.0,6,62151,RESEARCH ASSISTANT,BRADENTON-FL,8,100.0
2015Q1,CERTIFIED,12083,1,1,55000.0,55000.0,55000.0,54330.0,54330.0,54330.0,7,11292,EQUINE ADMINISTRATION MANAGER,ANTHONY-FL,1,100.0
2015Q1,CERTIFIED,12085,1,1,58427.0,58427.0,58427.0,58427.0,58427.0,58427.0,6,71399,EXCURSIONS MANAGER,STUART-FL,1,100.0
2015Q1,CERTIFIED,12086,250,251,21965.0,88813.0,624000.0,21965.0,68932.0,209643.0,5,54151,PROGRAMMER ANALYST,MIAMI-FL,190,76.0
2015Q1,CERTIFIED,12095,121,141,35000.0,82396.0,204000.0,29307.0,71145.0,188440.0,5,54133,ENGINEER,ORLANDO-FL,45,37.19
2015Q1,CERTIFIED,12097,6,6,100000.0,143713.0,202800.0,15080.0,61682.0,89856.0,5,72111,GOLF PROGRAMS MANAGER,ORLANDO-FL,6,100.0
2015Q1,CERTIFIED,12099,94,94,30160.0,80778.0,600000.0,25938.0,65956.0,197371.0,5,54151,SYSTEMS ANALYST,BOCA RATON-FL,58,61.7
2015Q1,CERTIFIED,12101,7,7,61630.0,75946.0,80000.0,43742.0,62546.0,74672.0,5,5417,WEB DEVELOPER,TRINITY-FL,3,42.86
2015Q1,CERTIFIED,12103,95,95,48131.0,81726.0,325000.0,44346.0,72325.0,237349.0,5,54151,PROGRAMMER ANALYST,CLEARWATER-FL,50,52.63
2015Q1,CERTIFIED,12105,21,21,50000.0,86960.0,126620.0,49720.0,74003.0,120964.0,5,44511,COMPUTER PROGRAMMER ANALYST,LAKELAND-FL,14,66.67
2015Q1,CERTIFIED,12111,4,4,62400.0,86390.0,106579.0,49899.0,80600.0,106579.0,5,71391,GENERAL MANAGER,PORT ST LUCIE-FL,4,100.0
2015Q1,CERTIFIED,12115,4,4,54080.0,79962.0,115939.0,32000.0,65356.0,113942.0,5,3399,DESIGN ENGINEER,SARASOTA-FL,4,100.0
2015Q1,CERTIFIED,12117,67,67,43680.0,72986.0,499990.0,43118.0,65084.0,199139.0,6,54151,PROGRAMMER ANALYST,LAKE MARY-FL,22,32.84
2015Q1,CERTIFIED,12123,1,1,195000.0,195000.0,195000.0,96242.0,96242.0,96242.0,7,62211,PHYSICIAN,PERRY-FL,1,100.0
2015Q1,CERTIFIED,12127,14,14,30139.0,85549.0,205000.0,26250.0,70160.0,171267.0,5,61131,INSTRUCTOR,DAYTONA BEACH-FL,13,92.86
2015Q1,CERTIFIED,12131,4,10,74900.0,87375.0,120000.0,56430.0,71354.0,78499.0,6,48819,ELECTRONICS ENGINEER,CRESTVIEW-FL,4,100.0
2015Q1,CERTIFIED,13021,2,2,44100.0,60050.0,76000.0,39860.0,53020.0,66180.0,5,61131,ASSISTANT PROFESSOR,MACON-GA,2,100.0
2015Q1,CERTIFIED,13027,1,1,35960.0,35960.0,35960.0,35960.0,35960.0,35960.0,6,61111,SECONDARY SCHOOL TEACHER,QUITMAN-GA,1,100.0
2015Q1,CERTIFIED,13031,3,3,55450.0,62711.0,72683.0,41662.0,55826.0,70366.0,6,61131,RESEARCH MANAGER,STATESBORO-GA,3,100.0
2015Q1,CERTIFIED,13033,1,1,72816.0,72816.0,72816.0,60632.0,60632.0,60632.0,6,2211,PRODUCT ENGINEER,WAYNESBORO-GA,1,100.0
2015Q1,CERTIFIED,13045,2,2,63000.0,75844.0,88688.0,61776.0,64532.0,67288.0,6,54171,PROCESS ENGINEERING MANAGER,CARROLLTON-GA,1,50.0
2015Q1,CERTIFIED,13051,13,13,47847.0,71743.0,104004.0,45178.0,64070.0,100776.0,6,61131,ASSISTANT PROFESSOR,SAVANNAH-GA,9,69.23
2015Q1,CERTIFIED,13059,17,17,35000.0,83588.0,300000.0,26083.0,60358.0,217792.0,5,61131,POSTDOCTORAL RESEARCH ASSOCIATE,ATHENS-GA,17,100.0
2015Q1,CERTIFIED,13063,5,5,39000.0,97152.0,173680.0,38870.0,77162.0,125632.0,6,61171,SENIOR DESIGNER,STOCKBRIDGE-GA,3,60.0
2015Q1,CERTIFIED,13067,59,59,60000.0,86808.0,312000.0,40060.0,74872.0,112882.0,6,54151,PROGRAMMER ANALYST,KENNESAW-GA,8,13.56
2015Q1,CERTIFIED,13073,1,1,120000.0,120000.0,120000.0,66602.0,66602.0,66602.0,6,62139,PODIATRIST PHYSICIAN,EVANS-GA,1,100.0
