quarter,result,state,app_count,worker_count,min_yr_sal,avg_yr_sal,max_yr_sal,min_pw,avg_pw,max_pw,avg_decdur,naics5,job,workcity,samest,ssst
2015Q1,CERTIFIED,OR,566,1727,26616.0,87268.0,250000.0,23856.0,74949.0,224952.0,5,54151,SOFTWARE ENGINEER,PORTLAND-OR,142,25.09
2015Q1,CERTIFIED,PA,2621,6164,30000.0,130076.0,124800000.0,18845.0,67915.0,235581.0,5,54151,PROGRAMMER ANALYST,PHILADELPHIA-PA,1267,48.34
2015Q1,CERTIFIED,PR,29,61,23640.0,76818.0,312000.0,20842.0,45015.0,93829.0,6,54151,QUALITY CONTROL MANAGER,SAN JUAN-PR,16,55.17
2015Q1,CERTIFIED,RI,363,540,41714.0,83319.0,225000.0,35235.0,69815.0,173742.0,5,54151,TECHNOLOGY LEAD - US,CRANSTON-RI,69,19.01
2015Q1,CERTIFIED,SC,274,597,26146.0,82216.0,327514.0,25667.0,65168.0,270028.0,5,54151,PROGRAMMER ANALYST,GREENVILLE-SC,74,27.01
2015Q1,CERTIFIED,SD,30,40,33469.0,97919.0,450000.0,32370.0,62649.0,198162.0,6,54151,COMPUTER PROGRAMMER,SIOUX FALLS-SD,17,56.67
2015Q1,CERTIFIED,TN,788,3450,27040.0,77582.0,337501.0,23899.0,64242.0,192587.0,5,54151,PROGRAMMER ANALYST,NASHVILLE-TN,258,32.74
2015Q1,CERTIFIED,TX,6560,12855,27000.0,84084.0,750000.0,16494.0,71883.0,247250.0,5,54151,PROGRAMMER ANALYST,HOUSTON-TX,3232,49.27
2015Q1,CERTIFIED,UT,351,882,24960.0,79672.0,193000.0,23296.0,65434.0,157872.0,5,54151,PROGRAMMER ANALYST,SALT LAKE CITY-UT,144,41.03
2015Q1,CERTIFIED,VA,2441,4700,24211.0,83401.0,520000.0,21299.0,73359.0,205858.0,5,54151,PROGRAMMER ANALYST,RICHMOND-VA,1192,48.83
2015Q1,CERTIFIED,VI,12,12,42100.0,90405.0,200000.0,27770.0,58154.0,100381.0,6,61111,SPECIAL EDUCATION TEACHER,ST. THOMAS-VI,11,91.67
2015Q1,CERTIFIED,VT,60,132,33061.0,79603.0,158142.0,27768.0,63421.0,127816.0,5,54151,COMPUTER SYSTEMS ANALYST,SOUTH BURLINGTON-VT,15,25.0
2015Q1,CERTIFIED,WA,3194,8735,23192.0,103211.0,330000.0,23192.0,85295.0,216674.0,5,54151,SOFTWARE ENGINEER,SEATTLE-WA,1764,55.23
2015Q1,CERTIFIED,WI,869,2459,16765.0,81304.0,418000.0,16765.0,64617.0,244140.0,5,54151,PROGRAMMER ANALYST,MILWAUKEE-WI,246,28.31
2015Q1,CERTIFIED,WV,69,130,21424.0,95461.0,550000.0,18940.0,69548.0,222394.0,5,54151,PHYSICAL THERAPIST,MORGANTOWN-WV,34,49.28
2015Q1,CERTIFIED,WY,9,9,38600.0,106845.0,300000.0,27456.0,89019.0,237037.0,5,62111,SALES MANAGER,ROCK SPRINGS-WY,6,66.67
2015Q1,CERTIFIED-WITHDRAWN,AK,2,2,49254.0,65377.0,81500.0,43555.0,57564.0,71573.0,559,61131,DIGITAL MARKETING CAMPAIGNS MANAGER,FAIRBANKS-AK,2,100.0
2015Q1,CERTIFIED-WITHDRAWN,AL,9,9,44700.0,89292.0,200000.0,43514.0,70191.0,123490.0,385,54151,TIBCO MDM ARCHITECT,BIRMINGHAM-AL,4,44.44
2015Q1,CERTIFIED-WITHDRAWN,AR,42,42,38050.0,68191.0,208448.0,33330.0,57425.0,116896.0,308,54151,SENIOR SOFTWARE DEVELOPER,BENTONVILLE-AR,8,19.05
2015Q1,CERTIFIED-WITHDRAWN,AZ,61,64,31690.0,76452.0,135200.0,31690.0,64777.0,92549.0,308,54151,PROGRAMMER/ANALYST,PHOENIX-AZ,20,32.79
2015Q1,CERTIFIED-WITHDRAWN,CA,1746,2032,30555.0,100911.0,584000.0,20738.0,86183.0,240614.0,427,54151,SOFTWARE ENGINEER,SAN FRANCISCO-CA,1283,73.48
2015Q1,CERTIFIED-WITHDRAWN,CO,105,105,38605.0,75628.0,168815.0,29286.0,62167.0,123906.0,349,54151,RESEARCH ASSOCIATE,BOULDER-CO,65,61.9
2015Q1,CERTIFIED-WITHDRAWN,CT,93,94,39264.0,88222.0,260000.0,36067.0,69804.0,198619.0,367,54151,PHYSICAL THERAPIST,STAMFORD-CT,37,39.78
2015Q1,CERTIFIED-WITHDRAWN,DC,76,76,40000.0,126488.0,3565172.0,34270.0,66536.0,141856.0,434,54151,PROGRAMMER ANALYST,WASHINGTON-DC,38,50.0
2015Q1,CERTIFIED-WITHDRAWN,DE,30,31,40000.0,79694.0,185000.0,37149.0,65644.0,115419.0,498,54151,PROGRAMMER/ANALYST,NEWARK-DE,11,36.67
2015Q1,CERTIFIED-WITHDRAWN,FL,183,219,33280.0,76561.0,480000.0,24731.0,63029.0,188793.0,369,54151,PROGRAMMER ANALYST,MIAMI-FL,70,38.25
2015Q1,CERTIFIED-WITHDRAWN,GA,250,250,31900.0,69415.0,169915.0,25418.0,61084.0,136282.0,357,54151,PROGRAMMER ANALYST,ATLANTA-GA,128,51.2
2015Q1,CERTIFIED-WITHDRAWN,HI,6,6,57512.0,84229.0,111396.0,57504.0,64107.0,89627.0,387,61131,ASSISTANT PROFESSOR,HONOLULU-HI,6,100.0
2015Q1,CERTIFIED-WITHDRAWN,IA,48,48,36421.0,80746.0,255000.0,30347.0,67632.0,235019.0,448,54151,PROGRAMMER ANALYST,IOWA CITY-IA,25,52.08
2015Q1,CERTIFIED-WITHDRAWN,ID,6,6,52250.0,68572.0,107000.0,48693.0,58180.0,76891.0,337,54151,WINDING ENGINEER,BOISE-ID,3,50.0
2015Q1,CERTIFIED-WITHDRAWN,IL,370,376,30500.0,77977.0,475000.0,19880.0,61749.0,158163.0,355,54151,PROGRAMMER ANALYST,CHICAGO-IL,234,63.24
2015Q1,CERTIFIED-WITHDRAWN,IN,123,127,37794.0,85883.0,299998.0,31554.0,60003.0,200013.0,416,61131,POSTDOCTORAL FELLOW,INDIANAPOLIS-IN,77,62.6
2015Q1,CERTIFIED-WITHDRAWN,KS,24,25,36000.0,70479.0,110869.0,30867.0,58984.0,85738.0,319,61131,PROGRAM MANAGER,OVERLAND PARK-KS,8,33.33
2015Q1,CERTIFIED-WITHDRAWN,KY,15,22,37100.0,60420.0,88110.0,37086.0,54360.0,88109.0,446,54151,SOFTWARE ENGINEER,LOUISVILLE-KY,5,33.33
2015Q1,CERTIFIED-WITHDRAWN,LA,24,24,38000.0,83324.0,330000.0,34861.0,62476.0,238659.0,499,61131,POSTDOCTORAL RESEARCHER,BATON ROUGE-LA,17,70.83
2015Q1,CERTIFIED-WITHDRAWN,MA,329,339,33688.0,650491.0,188543680.0,28912.0,64344.0,189093.0,425,54151,RESEARCH FELLOW,BOSTON-MA,220,66.87
2015Q1,CERTIFIED-WITHDRAWN,MD,181,182,28320.0,71670.0,222500.0,20821.0,58032.0,115253.0,443,61131,RESEARCH FELLOW,BALTIMORE-MD,108,59.67
2015Q1,CERTIFIED-WITHDRAWN,ME,2,2,95000.0,105000.0,115000.0,89170.0,92165.0,95160.0,15,52411,SOFTWARE DEVELOPMENT ENGINEER,PORTLAND-ME,1,50.0
2015Q1,CERTIFIED-WITHDRAWN,MI,206,209,35256.0,75931.0,300000.0,27622.0,60370.0,208140.0,402,61131,PROGRAMMER ANALYST,ANN ARBOR-MI,142,68.93
2015Q1,CERTIFIED-WITHDRAWN,MN,78,78,50000.0,74991.0,121207.0,46488.0,67164.0,106205.0,331,54151,PROGRAMMER ANALYST,MINNEAPOLIS-MN,25,32.05
2015Q1,CERTIFIED-WITHDRAWN,MO,129,143,36000.0,72272.0,208000.0,23442.0,58714.0,128565.0,409,54151,SOFTWARE ENGINEER,NORTH KANSAS CITY-MO,66,51.16
2015Q1,CERTIFIED-WITHDRAWN,MS,13,14,37440.0,68773.0,175000.0,25730.0,53911.0,126464.0,293,61131,COMPUTER SYSTEMS CONSULTANT,JACKSON-MS,9,69.23
2015Q1,CERTIFIED-WITHDRAWN,MT,4,4,31637.0,59209.0,83200.0,31637.0,42838.0,64397.0,417,61131,ASSOCIATE PROFESSOR,BOZEMAN-MT,3,75.0
2015Q1,CERTIFIED-WITHDRAWN,NC,184,187,35000.0,75340.0,200000.0,21965.0,64177.0,165298.0,326,54151,SOFTWARE ENGINEER,RALEIGH-NC,98,53.26
2015Q1,CERTIFIED-WITHDRAWN,ND,2,2,69000.0,73000.0,77000.0,46550.0,49691.0,52832.0,614,21311,SOFTWARE DEVELOPMENT ENGINEER IN TEST,FARGO-ND,2,100.0
2015Q1,CERTIFIED-WITHDRAWN,NE,30,30,40165.0,90470.0,400000.0,40165.0,68157.0,226900.0,328,54151,SOFTWARE DEVELOPER,OMAHA-NE,19,63.33
2015Q1,CERTIFIED-WITHDRAWN,NH,46,46,40500.0,84360.0,204130.0,35339.0,65719.0,123843.0,377,54151,PROGRAMMER ANALYST,NASHUA-NH,37,80.43
2015Q1,CERTIFIED-WITHDRAWN,NJ,398,419,43680.0,391418.0,124800000.0,31283.0,69402.0,129376.0,360,54151,PROGRAMMER ANALYST,PISCATAWAY-NJ,232,58.29
2015Q1,CERTIFIED-WITHDRAWN,NM,11,11,38854.0,113647.0,227500.0,36130.0,89029.0,164133.0,513,61131,HOSPITALIST PHYSICIAN,ALBUQUERQUE-NM,10,90.91
2015Q1,CERTIFIED-WITHDRAWN,NV,16,16,60000.0,90675.0,150284.0,45406.0,71977.0,100568.0,414,54151,PROGRAMMER ANALYST,LAS VEGAS-NV,7,43.75
2015Q1,CERTIFIED-WITHDRAWN,NY,755,786,31262.0,91485.0,378000.0,24480.0,73670.0,222352.0,424,54151,PROGRAMMER/ANALYST,NEW YORK-NY,463,61.32
2015Q1,CERTIFIED-WITHDRAWN,OH,131,135,35505.0,74808.0,164986.0,22859.0,62201.0,121922.0,360,54151,PROGRAMMER ANALYST,COLUMBUS-OH,51,38.93
2015Q1,CERTIFIED-WITHDRAWN,OK,13,13,33870.0,87577.0,151250.0,33238.0,63529.0,106226.0,504,54151,MATH TEACHER,TULSA-OK,7,53.85
2015Q1,CERTIFIED-WITHDRAWN,OR,66,66,37500.0,76797.0,215260.0,34632.0,62903.0,133349.0,342,54151,PROGRAMMER ANALYST,PORTLAND-OR,28,42.42
2015Q1,CERTIFIED-WITHDRAWN,PA,315,316,25740.0,74793.0,403000.0,24440.0,61624.0,150440.0,431,54151,PROGRAMMER ANALYST,PHILADELPHIA-PA,194,61.59
2015Q1,CERTIFIED-WITHDRAWN,PR,1,1,60000.0,60000.0,60000.0,50482.0,50482.0,50482.0,94,54151,SAP MM CONSULTANT,CAROLINA-PR,1,100.0
2015Q1,CERTIFIED-WITHDRAWN,RI,19,19,55000.0,87279.0,127084.0,43243.0,72476.0,106933.0,323,44611,MEDICAL SERVICES CONSULTANT,WOONSOCKET-RI,8,42.11
2015Q1,CERTIFIED-WITHDRAWN,SC,55,55,38400.0,68863.0,400000.0,33384.0,48811.0,119579.0,316,54151,PROGRAMMER ANALYST,COLUMBIA-SC,12,21.82
2015Q1,CERTIFIED-WITHDRAWN,SD,1,1,65000.0,65000.0,65000.0,57780.0,57780.0,57780.0,50,61131,ASSISTANT PROFESSOR OF HEALTH SCIENCES,VERMILLION-SD,1,100.0
2015Q1,CERTIFIED-WITHDRAWN,TN,56,59,38771.0,73055.0,129106.0,32580.0,59572.0,129106.0,294,54151,RESEARCH ASSOCIATE POSTDOCTORAL,OAK RIDGE-TN,28,50.0
2015Q1,CERTIFIED-WITHDRAWN,TX,739,771,24000.0,245551.0,124800000.0,17888.0,64788.0,216050.0,375,54151,PROGRAMMER ANALYST,HOUSTON-TX,504,68.2
2015Q1,CERTIFIED-WITHDRAWN,UT,21,21,32843.0,72297.0,155000.0,32843.0,57069.0,90314.0,220,61131,PROGRAMMER ANALYST,SALT LAKE CITY-UT,8,38.1
2015Q1,CERTIFIED-WITHDRAWN,VA,302,303,33000.0,74895.0,169998.0,29328.0,64468.0,122886.0,408,54151,COMPUTER PROGRAMMER / ANALYST,RESTON-VA,188,62.25
2015Q1,CERTIFIED-WITHDRAWN,VT,3,3,45275.0,61592.0,70000.0,44595.0,57609.0,69472.0,522,54151,PROJECT/PROGRAM SPECIALIST,BURLINGTON-VT,1,33.33
2015Q1,CERTIFIED-WITHDRAWN,WA,402,699,30992.0,102519.0,324904.0,30992.0,82187.0,249808.0,450,51121,SOFTWARE DEVELOPMENT ENGINEER IN TEST,REDMOND-WA,325,80.85
2015Q1,CERTIFIED-WITHDRAWN,WI,74,91,37149.0,79659.0,340000.0,27144.0,63528.0,165693.0,322,54151,PROGRAMMER ANALYST,MADISON-WI,46,62.16
2015Q1,CERTIFIED-WITHDRAWN,WV,9,9,27851.0,75690.0,180000.0,16630.0,41083.0,82140.0,486,61131,ASSISTANT PROFESSOR,HUNTINGTON-WV,7,77.78
2015Q1,CERTIFIED-WITHDRAWN,WY,1,1,28152.0,28152.0,28152.0,28142.0,28142.0,28142.0,287,61131,ASSISTANT RESEARCH SCIENTIST,LARAMIE-WY,1,100.0
2015Q1,DENIED,AK,12,12,47840.0,71735.0,172800.0,39104.0,66142.0,167877.0,5,33272,GENERAL OPERATIONS MANAGER,JUNEAU-AK,10,83.33
2015Q1,DENIED,AL,6,6,20800.0,60632.0,120000.0,17618.0,49247.0,72842.0,4,54151,"OFFICE CLERKS, GENERAL",BIRMINGHAM-AL,3,50.0
2015Q1,DENIED,AR,7,7,57783.0,74709.0,164800.0,44741.0,59185.0,75774.0,5,54151,SENIOR PRINCIPAL FUNCTIONAL CONSULTANT,BENTONVILLE-AR,2,28.57
2015Q1,DENIED,AZ,11,11,36800.0,66251.0,125000.0,36800.0,62751.0,107390.0,5,54151,BUSINESS ANALYST,PHOENIX-AZ,4,36.36
2015Q1,DENIED,CA,341,406,18720.0,95031.0,720000.0,17800.0,735414.0,221555360.0,5,54151,SOFTWARE ENGINEER,SAN FRANCISCO-CA,258,75.66
2015Q1,DENIED,CO,28,38,18890.0,93850.0,225000.0,18890.0,80316.0,143915.0,5,54151,FINANCIAL ANALYST,DENVER-CO,19,67.86
2015Q1,DENIED,CT,22,41,36712.0,76608.0,160000.0,26582.0,76187.0,162136.0,5,54151,MEDICINAL PLANT PHARMACOGNOSIS,DANBURY-CT,14,63.64
2015Q1,DENIED,DC,23,23,32000.0,82324.0,250000.0,29869.0,68706.0,157435.0,4,54151,CUSTOMER RESEARCHER,WASHINGTON-DC,14,60.87
2015Q1,DENIED,DE,9,9,39707.0,69645.0,108867.0,39707.0,67565.0,108867.0,4,54151,SOFTWARE ENGINEER,NEWARK-DE,6,66.67
2015Q1,DENIED,FL,60,61,20000.0,77759.0,270000.0,0.0,1736749.0,97560320.0,5,54151,QUALITY CONTROL,MIAMI-FL,50,83.33
2015Q1,DENIED,GA,39,54,41870.0,76412.0,165000.0,41870.0,69613.0,113610.0,5,54151,PROGRAMMER ANALYST,ATLANTA-GA,23,58.97
2015Q1,DENIED,GU,17,25,24752.0,39080.0,62400.0,19781.0,34540.0,48880.0,4,23622,CIVIL ENGINEER,TAMUNING-GU,16,94.12
2015Q1,DENIED,HI,12,30,39936.0,82541.0,135000.0,0.0,71614.0,134014.0,4,92311,ENGINEER,HONOLULU-HI,10,83.33
2015Q1,DENIED,IA,8,17,31787.0,59504.0,99451.0,31787.0,173883.0,1042824.0,4,54151,PROGRAMMER ANALYST,IOWA CITY-IA,5,62.5
2015Q1,DENIED,ID,5,5,37440.0,66541.0,100000.0,24378.0,137134.0,478920.0,7,61131,GEODETIC COORDINATOR,BOISE-ID,3,60.0
2015Q1,DENIED,IL,52,70,32250.0,89132.0,930000.0,29266.0,1678413.0,83948800.0,4,54151,PROGRAMMER ANALYST,CHICAGO-IL,32,61.54
2015Q1,DENIED,IN,21,21,23920.0,112138.0,1151544.0,39333.0,58050.0,105539.0,4,32739,DESIGN ENGINEER,WHITESTOWN-IN,16,76.19
2015Q1,DENIED,KS,10,14,27040.0,60376.0,73250.0,21653.0,52753.0,66310.0,5,54194,ASSOCIATE VETERINARIAN,GARNETT-KS,10,100.0
2015Q1,DENIED,KY,2,8,68867.0,71811.0,74755.0,44304.0,44408.0,44512.0,5,52411,CHOREOGRAPHER,LOUISVILLE-KY,2,100.0
2015Q1,DENIED,LA,5,15,20800.0,30218.0,36026.0,21000.0,30733.0,36026.0,5,54133,HURRICANE PROTECTION BARRICADE AT CHANDELURE ISLAND LA.,NEW ORLEANS-LA,5,100.0
2015Q1,DENIED,MA,74,139,25930.0,76742.0,163400.0,21861.0,71231.0,160475.0,5,54151,SOFTWARE ENGINEER,BOSTON-MA,54,72.97
2015Q1,DENIED,MD,25,25,40000.0,75037.0,132000.0,30389.0,69219.0,110968.0,4,54171,SCIENTIST/ADAPTIVE OPTICS ENGINEER,GAITHERSBURG-MD,19,76.0
2015Q1,DENIED,ME,1,1,119500.0,119500.0,119500.0,143949.0,143949.0,143949.0,4,62111,CHILD & ADOLESCENT PSYCHIATRIST,DAMARISCOTTA-ME,1,100.0
2015Q1,DENIED,MI,26,59,17056.0,89099.0,729000.0,17056.0,58632.0,93642.0,4,54151,PROJECT ENGINEER,DEARBORN-MI,22,84.62
2015Q1,DENIED,MN,25,55,25168.0,9602942.0,237952000.0,21736.0,6997830.0,172968640.0,5,54151,LEAD JAVA DEVELOPER,MINNEAPOLIS-MN,20,80.0
2015Q1,DENIED,MO,9,11,31200.0,59720.0,123396.0,37690.0,57780.0,101200.0,4,61131,INSTRUCTOR,ST. LOUIS-MO,5,55.56
2015Q1,DENIED,MS,8,8,37794.0,50043.0,112500.0,32010.0,44223.0,82380.0,4,61131,POST DOCTORAL,MISSISSIPPI STATE-MS,8,100.0
2015Q1,DENIED,MT,4,4,25251.0,61427.0,73486.0,25251.0,61428.0,73486.0,6,62211,CRITICAL CARE ICU RN,KALISPELL-MT,4,100.0
2015Q1,DENIED,NC,34,53,19178.0,74576.0,120000.0,19178.0,65208.0,116438.0,4,54151,APPLICATION ARCHITECT,CHARLOTTE-NC,20,58.82
2015Q1,DENIED,NE,1,1,60000.0,60000.0,60000.0,45802.0,45802.0,45802.0,4,56161,DATA ANALYST,OMAHA-NE,1,100.0
2015Q1,DENIED,NH,6,6,54392.0,68482.0,88000.0,54029.0,63177.0,72900.0,6,54151,PROGRAMMER ANALYST,NASHUA-NH,5,83.33
2015Q1,DENIED,NJ,72,90,26666.0,82137.0,175000.0,26666.0,2714758.0,189496320.0,5,54151,PROGRAMMER ANALYST,JERSEY CITY-NJ,43,59.72
2015Q1,DENIED,NM,4,9,48800.0,76545.0,144000.0,37920.0,50761.0,63502.0,4,61111,HIGH SCHOOL MATH TEACHER,ALBUQUERQUE-NM,3,75.0
2015Q1,DENIED,NV,9,9,31907.0,71088.0,182500.0,31907.0,68935.0,180000.0,5,6111,MIDDLE SCHOOL TEACHER/COACH,LAS VEGAS-NV,8,88.89
2015Q1,DENIED,NY,255,315,24700.0,79958.0,504608.0,16640.0,69059.0,521412.0,5,54151,TRANSLATOR,NEW YORK-NY,193,75.69
2015Q1,DENIED,OH,28,37,27040.0,90605.0,325320.0,25293.0,3038863.0,82937920.0,5,54151,SURGEON AND FACULTY MEMBER,COLUMBUS-OH,19,67.86
2015Q1,DENIED,OK,5,5,19240.0,42397.0,60000.0,19178.0,39732.0,55994.0,6,92411,PROFESSIONAL ENGINEER II,OKLAHOMA CITY-OK,5,100.0
2015Q1,DENIED,OR,11,11,52458.0,120756.0,226408.0,51896.0,103594.0,211393.0,4,54151,PROGRAMMER II,BEAVERTON-OR,5,45.45
2015Q1,DENIED,PA,45,64,25740.0,97014.0,425000.0,24440.0,2288873.0,99550880.0,5,54151,SOFTWARE ENGINEER,PHILADELPHIA-PA,36,80.0
2015Q1,DENIED,PR,1,1,61131.0,61131.0,61131.0,61131.0,61131.0,61131.0,3,32616,MARKETING MANAGER,YABUCOA-PR,1,100.0
2015Q1,DENIED,PW,1,1,51250.0,51250.0,51250.0,50000.0,50000.0,50000.0,5,54181,ART DIRECTOR,PHILADELPHIA-PW,1,100.0
2015Q1,DENIED,RI,10,24,60341.0,94205.0,155147.0,57949.0,90247.0,155147.0,6,61131,LECTURER,PROVIDENCE-RI,4,40.0
2015Q1,DENIED,SC,13,15,29000.0,44913.0,84450.0,24211.0,41242.0,61734.0,4,42494,FRONT OF THE HOUSE MANAGER,MYRTLE BEACH-SC,9,69.23
2015Q1,DENIED,TN,17,19,43306.0,81155.0,228800.0,37794.0,70721.0,192587.0,5,54161,BUSINESS ANALYST,NASHVILLE-TN,7,41.18
2015Q1,DENIED,TX,177,366,20800.0,78559.0,468000.0,15080.0,67555.0,236954.0,4,54151,PROGRAMMER ANALYST,HOUSTON-TX,106,59.89
